mission_name,upcoming,launch_date,rocket_name,payload,launch_site_name,launch_site_name_long,launch_success,launch_state
JCSAT-2B,FALSE,"May 6, 2016",Falcon 9,JCSAT-2B,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Thaicom 8,FALSE,"May 27, 2016",Falcon 9,Thaicom 8,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
ABS-2A / Eutelsat 117W B,FALSE,"June 15, 2016",Falcon 9,ABS-2A,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-9,FALSE,"July 18, 2016",Falcon 9,CRS-9,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
JCSAT-16,FALSE,"August 14, 2016",Falcon 9,JCSAT-16,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Amos-6,FALSE,"September 1, 2016",Falcon 9,Amos-6,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,FALSE,Florida
Iridium NEXT Mission 1,FALSE,"January 14, 2017",Falcon 9,Iridium NEXT 1,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
CRS-10,FALSE,"February 19, 2017",Falcon 9,CRS-10,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
EchoStar 23,FALSE,"March 16, 2017",Falcon 9,EchoStar 23,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
SES-10,FALSE,"March 30, 2017",Falcon 9,SES-10,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
NROL-76,FALSE,"May 1, 2017",Falcon 9,NROL-76,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
Inmarsat-5 F4,FALSE,"May 15, 2017",Falcon 9,Inmarsat-5 F4,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
CRS-11,FALSE,"June 3, 2017",Falcon 9,CRS-11,KSC LC 39A,Kennedy Space Center Historic Launch Complex 39A,TRUE,Florida
